modulo,canonico,variante,tipo,almacenamiento,origen,motivo
rig_face_v2,rig_face_bake_lip_color_map,rig_face_bake_lip_color_map__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:567,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_face_bake_pore_normal_map,rig_face_bake_pore_normal_map__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:617,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_face_bake_vascular_map,rig_face_bake_vascular_map__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:623,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_face_bake_wrinkle_normal_map,rig_face_bake_wrinkle_normal_map__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:629,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_face_build_follicle_map,rig_face_build_follicle_map__v2,function,extern,nested/rig_face_v2_bridge/rig_face_engine_v2.c:734,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2,rig_face_build_ear_geometry,rig_face_build_ear_geometry__v3,function,extern,nested/Face_Pose_Body/rig_face_engine_v2.c:471,"cuerpo divergente; absorbido de rig_face_engine_v2"
rig_face_v2_bridge,rigart_renderer_html_v4,rigart_renderer_html_v4__v2,function,extern,nested/Face_Pose_Body/rig_face_v2_bridge.c:398,"cuerpo divergente; ausente en la copia canonica"
rig_face_v2_bridge,b4_str,b4_str__v2,function,static,src_raw/rig_face_v2_bridge.c:43,"cuerpo divergente; ausente en la copia canonica"
rig_face_v2_bridge,rigart_face_session_v2_init,rigart_face_session_v2_init__v2,function,extern,src_raw/rig_face_v2_bridge.c:60,"cuerpo divergente; ausente en la copia canonica"
rig_face_v2_bridge,rigart_face_session_v2_destroy,rigart_face_session_v2_destroy__v2,function,extern,src_raw/rig_face_v2_bridge.c:71,"cuerpo divergente; ausente en la copia canonica"
rig_face_v2_bridge,rigart_face_v2_dispatch,rigart_face_v2_dispatch__v2,function,extern,src_raw/rig_face_v2_bridge.c:78,"cuerpo divergente; ausente en la copia canonica"
